day,month,year,crimeDate,Crime_Total,Arson,Assault,Battery,Burglary,Concealed_Carry_License_Violation,Criminal_Damage,Criminal_Tresspass,Crim_Sexual_Assault,Criminal_Sexual_Assault,Deceptive_Practice,Domestic_Violence,Gambling,Homicide,Human_Trafficking,Interference_with_Public_Officer,Intimidation,Kidnapping,Liquor_Law_Violation,Motor_Vehicle_Theft,Narcotics,Other_Narcotic_Violation,Non_Criminal,Non_Criminal2,Non_Criminal_SUBJECT_SPECIFIED,Obscenity,Offence_Involving_Children,Public_Indecency,prostitution,Public_Peace_Violation,Ritualism,Robbery,Stalking,Theft,Weapon_Violation,Other_Offence,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
6,03,21,2021-03-06,526,1,62,128,10,1,60,12,,3,28,,,2,,1,,,1,23,17,,,,,1,3,,,2,,22,2,87,23,34,36.5,22.9,1027.5,10.0,3,11.1,999.9,48.9,25.2,0.0,999.9,0
7,03,21,2021-03-07,489,1,43,127,12,,62,11,,8,37,,,1,,1,1,1,,29,13,,,,,,3,,,1,,17,2,59,28,32,36.5,22.2,1028.6,10.0,4.5,12,15.0,52.0,26.1,0.0,999.9,0
1,03,21,2021-03-08,537,1,48,108,13,,59,9,,6,48,,,3,,,,,,27,19,,,,,,4,,,2,,15,6,94,35,40,50.8,32.3,1025.3,10.0,10.9,18.1,27.0,62.1,44.1,0.0,999.9,0
2,03,21,2021-03-09,586,5,56,114,13,1,71,11,,5,59,,,,,,,,1,23,33,,,,,,4,,,2,,20,,90,40,38,52.6,36.1,1024.0,10.0,5.9,18.1,31.1,69.1,39.9,0.0,999.9,0
3,03,21,2021-03-10,552,,53,110,15,1,73,8,,3,51,,,4,,1,,,,29,36,,,,,,2,,2,,,16,1,82,29,35,61.0,42.5,1014.7,10.0,14.7,20,35.0,69.1,57.0,0.0,999.9,1
4,03,21,2021-03-11,494,2,42,88,7,1,47,11,,4,56,,,,,1,,,,21,37,,,,,,4,,2,3,,17,3,90,26,30,55.3,43.5,1013.6,10.0,16.1,26,47.0,69.1,45.0,0.16,999.9,1
5,03,21,2021-03-12,533,1,49,94,10,,66,15,,7,44,,1,1,,,,,,17,31,,,,,1,10,,,,,12,3,106,23,42,45.2,29.1,1027.4,10.0,7.4,11.1,999.9,64.0,37.0,0.0,999.9,0
6,03,21,2021-03-13,505,,39,123,14,,73,9,,5,27,,,1,,2,1,,,18,22,,,,,1,3,,,2,,12,4,83,33,31,43.2,24.7,1031.0,10.0,4.8,8.9,999.9,59.0,30.9,0.0,999.9,0
7,03,21,2021-03-14,456,1,41,100,11,,75,9,,5,23,,,3,,,,,1,28,12,,,,,,2,,,1,,19,2,64,26,33,45.4,26.4,1027.5,10.0,11.8,22.9,31.1,59.0,31.1,0.0,999.9,0
1,03,21,2021-03-15,492,3,37,86,9,1,59,7,,1,83,,,1,,2,1,,,19,23,,,,,,3,,,,,17,2,73,18,45,35.0,22.6,1025.9,7.9,16,22.9,31.1,48.0,28.9,0.0,2.0,1
2,03,21,2021-03-16,480,1,49,89,4,,48,9,,1,70,,,,,,1,,,24,28,,,,,2,4,,1,4,,12,,79,14,39,34.8,30.1,1016.3,5.5,6.4,17.1,26.0,39.9,28.9,0.23,1.2,1
3,03,21,2021-03-17,510,2,57,98,21,2,51,6,,6,59,,,,,2,1,2,,25,27,1,,,,,3,,,4,,12,4,74,11,42,35.7,30.3,1016.8,7.5,8,20,25.1,39.0,33.1,0.0,1.2,1
4,03,21,2021-03-18,446,2,43,78,15,,48,5,,1,51,,,,,,,,1,22,23,,,,,,4,,,,,17,5,73,21,37,38.6,33.2,1014.5,7.9,23.8,31.1,42.9,43.0,34.0,0.4,999.9,1
5,03,21,2021-03-19,502,1,43,91,10,,71,6,,3,57,,,1,,2,,,1,32,16,,,,,,5,,,1,,14,2,97,22,27,39.0,21.4,1030.6,10.0,14,22.9,31.1,45.0,35.1,0.03,999.9,0
6,03,21,2021-03-20,489,1,41,106,12,1,58,8,,3,51,,,1,,2,1,1,,25,12,,,,,,2,,,1,,13,3,91,31,25,40.9,23.1,1033.3,10.0,4.5,11.1,999.9,57.9,28.0,0.0,999.9,0
7,03,21,2021-03-21,548,1,53,122,16,1,81,8,,4,26,,,2,,2,,,,23,20,,,,,,9,,,2,,15,,82,38,42,49.8,26.8,1026.8,10.0,7.8,15,22.9,64.9,28.2,0.0,999.9,0
1,03,21,2021-03-22,605,1,51,128,22,1,67,15,,1,63,,,3,,2,,,,23,27,,,,,,8,,,2,,12,4,104,27,44,56.5,29.0,1018.8,10.0,9.5,14,26.0,68.0,37.0,0.0,999.9,0
2,03,21,2021-03-23,493,3,38,81,8,,64,5,,1,50,,,4,,2,,,,29,28,,,,,,3,,,,,14,5,97,23,37,56.8,41.0,1013.0,9.6,7,15,22.9,68.0,46.0,0.0,999.9,1
3,03,21,2021-03-24,503,1,59,85,12,,56,5,,5,54,,,2,,1,,,,16,32,,,,,,1,,,,,18,1,96,20,37,55.2,48.5,1004.2,9.5,13.4,21,35.9,64.0,50.0,0.24,999.9,1
4,03,21,2021-03-25,468,1,36,87,16,1,48,4,,7,42,,,1,,1,,,,31,26,,,,,1,5,,,,,19,2,88,14,37,47.0,40.0,1011.3,9.8,8.4,15.9,27.0,57.9,42.1,0.01,999.9,1
5,03,21,2021-03-26,509,1,55,97,4,,60,9,,1,46,,,3,,,,,,38,17,,,,,,6,,,,,23,1,84,20,44,39.3,33.9,1012.8,9.6,9.6,22,28.0,50.0,35.1,0.18,999.9,1
6,03,21,2021-03-27,477,2,51,122,13,,55,6,,5,25,,,,,1,,,1,28,9,,,,,,4,,,,,14,3,67,38,31,47.2,39.6,1015.2,8.8,6.5,15.9,24.1,66.0,35.1,0.0,999.9,0
7,03,21,2021-03-28,540,4,58,124,16,,64,10,,3,31,,,4,,,,,,27,26,,,,,,5,,,2,,11,3,84,29,39,47.6,34.0,1011.2,9.9,15,24.1,34.0,66.0,36.0,0.0,999.9,1
1,03,21,2021-03-29,497,2,48,114,10,1,67,9,,4,34,,,,,1,,3,,25,22,,,,,,6,,,1,,5,3,80,23,36,43.6,25.7,1019.1,10.0,9.7,20,36.9,62.1,30.9,0.0,999.9,0
2,03,21,2021-03-30,529,5,47,95,16,,67,9,,6,33,,,,,1,1,2,1,24,30,,,,,,5,,,1,,13,4,106,26,37,56.8,35.1,1008.6,10.0,17.5,22.9,38.1,66.9,48.9,0.0,999.9,0
3,03,21,2021-03-31,489,1,56,76,13,,69,12,,3,37,,,3,,1,1,,1,21,29,,,,,,2,,,1,,18,2,91,24,28,42.1,18.8,1018.3,10.0,11.7,15.9,25.1,68.0,34.0,0.0,999.9,1
4,04,21,2021-04-01,615,,54,83,17,,80,8,,9,82,,,1,,,1,,,22,29,,,,,,11,,,,,15,4,119,22,55,33.4,12.4,1030.4,10.0,12.3,15.9,22.9,44.1,24.1,0.0,999.9,0
5,04,21,2021-04-02,506,1,48,92,12,,62,6,,3,29,,,,,,,,1,26,17,,,,,,6,,,1,,26,1,110,23,40,36.0,16.1,1033.2,10.0,5.9,14,19.0,51.1,24.1,0.0,999.9,0
6,04,21,2021-04-03,537,4,62,119,9,1,59,10,,5,28,,,,,1,1,,,25,16,,,,,,5,,,,,16,6,92,45,32,51.3,23.0,1022.1,10.0,12.9,18.1,28.0,71.1,26.2,0.0,999.9,0
7,04,21,2021-04-04,542,1,53,143,12,1,62,7,,5,31,,,8,,,1,,,21,20,,,,,,5,,,1,,16,2,75,41,36,59.8,37.1,1019.8,10.0,4.4,13,21.0,75.9,39.9,0.0,999.9,0
1,04,21,2021-04-05,529,3,52,96,12,,65,9,,4,45,,,3,,,,,,23,25,,,,,,6,,,3,,10,4,87,32,48,67.0,46.7,1013.5,10.0,9.9,17.1,24.1,75.9,60.1,0.0,999.9,1
2,04,21,2021-04-06,547,4,56,108,10,,73,10,,3,46,,,4,,,1,1,,31,26,,,,,,,,,1,,11,2,93,30,37,69.7,48.4,1010.6,10.0,9.5,14,24.1,81.0,59.0,0.0,999.9,0
3,04,21,2021-04-07,583,2,62,110,12,1,60,9,,5,45,,,2,,2,1,,,26,33,,,,,,5,,,2,,13,5,115,25,47,70.2,51.6,1008.9,10.0,8.7,15.9,32.1,82.0,59.0,0.0,999.9,1
4,04,21,2021-04-08,484,2,45,82,10,2,52,13,,3,48,,,1,,,1,1,,21,26,,,,,,5,,,,,18,2,91,21,39,63.5,54.9,1002.4,9.2,7.6,15,24.1,82.0,55.0,0.03,999.9,1
5,04,21,2021-04-09,529,,58,103,19,1,63,12,,3,49,,,1,,,,,,21,24,,,,,,9,,,,,14,,72,26,54,54.1,46.9,1002.6,9.4,10.8,19,31.1,69.1,51.1,0.33,999.9,1
6,04,21,2021-04-10,513,1,58,114,11,,67,7,,6,20,,,,,1,1,,2,25,20,,,,,,6,,,2,,14,,87,30,41,52.8,47.3,1004.1,8.6,7.4,15,22.0,62.1,46.9,0.0,999.9,1
7,04,21,2021-04-11,479,2,53,114,19,,71,6,,4,21,,,3,,,,,,21,11,,,,,,5,,,1,,13,2,73,26,33,50.1,44.3,994.1,9.3,4.7,9.9,999.9,55.9,45.0,0.26,999.9,1
1,04,21,2021-04-12,527,1,59,101,19,,68,12,,2,55,,,1,,2,,,,20,11,,,,,,6,,,,,17,3,86,25,39,54.5,43.8,1004.9,9.8,8.9,19,29.9,62.1,45.0,0.01,999.9,1
2,04,21,2021-04-13,517,3,51,113,15,,64,11,,1,39,,,2,,3,,,,16,13,,,,,,5,,,,,24,2,94,26,34,49.4,32.8,1016.7,10.0,10.1,17.1,28.0,62.1,42.1,0.0,999.9,0
3,04,21,2021-04-14,466,,44,91,11,,58,8,,7,40,,1,3,,1,,,,22,15,,,,,1,3,,,1,,9,3,83,17,47,44.3,26.4,1019.4,10.0,8.2,15.9,22.0,54.0,36.0,0.0,999.9,0
4,04,21,2021-04-15,515,3,59,93,12,1,59,9,,3,49,,,1,,,,,,29,11,,,,,,4,,,2,,11,2,101,28,37,44.7,30.6,1017.0,10.0,9.4,14,21.0,55.9,36.0,0.0,999.9,0
5,04,21,2021-04-16,524,,46,95,13,,83,9,,3,47,,,2,,,2,,,20,10,,,,,,8,,,3,,20,4,102,27,30,46.9,35.3,1015.9,10.0,5.4,9.9,999.9,57.0,39.0,0.0,999.9,0
6,04,21,2021-04-17,515,1,45,127,12,2,84,5,,6,26,,,2,,,1,1,,19,6,,,,,,3,,,2,,18,2,83,33,37,44.1,33.3,1014.5,10.0,6.4,11.1,999.9,57.0,35.1,0.0,999.9,0
7,04,21,2021-04-18,453,,48,112,9,1,55,9,,3,21,,,4,,,,1,2,17,10,,,,,,5,,,3,,14,2,77,28,32,49.2,27.3,1013.4,10.0,4.5,11.1,15.9,62.1,35.1,0.0,999.9,0
1,04,21,2021-04-19,444,2,35,75,14,,58,6,,2,42,,,1,,1,,1,,24,8,,,,,,4,,,2,,15,5,90,23,35,50.9,31.9,1010.1,10.0,9.4,14,21.0,62.1,39.0,0.0,999.9,1
2,04,21,2021-04-20,439,1,43,69,19,,46,6,,5,51,,,,,,,,,21,10,,,,,,3,,,4,,15,1,96,15,34,40.2,24.0,1016.7,9.1,6.9,12,999.9,52.0,34.0,0.0,999.9,1
3,04,21,2021-04-21,456,,42,75,20,,47,9,,1,40,,,3,,2,1,,,27,9,,,,,,5,,,1,,12,2,99,21,37,39.1,23.9,1018.9,9.7,7.8,22,33.0,50.0,34.0,0.0,999.9,0
4,04,21,2021-04-22,491,1,64,81,15,,62,11,,4,30,,,1,,,1,,,28,13,,,,,,7,,,2,,20,3,95,21,31,41.7,25.5,1018.9,9.8,6.3,15,22.9,60.1,32.0,0.0,999.9,0
5,04,21,2021-04-23,512,2,42,91,14,1,75,9,,,40,,,2,,2,,,1,24,15,,,,,,8,,,1,,9,1,95,35,44,52.8,27.1,1016.7,10.0,9.9,15,22.9,62.1,32.0,0.0,999.9,0
6,04,21,2021-04-24,535,,66,132,10,,69,11,,7,24,,,,,1,,,,28,12,,,,,,3,,,1,,17,,76,25,50,55.4,40.9,1012.1,10.0,3.3,14,999.9,64.0,43.0,0.0,999.9,1
7,04,21,2021-04-25,501,3,49,118,11,,69,9,,5,20,,,3,,1,1,1,,28,10,,,1,,,5,,,2,,13,4,89,25,34,46.2,33.6,1016.3,9.9,10.4,18.1,20.0,64.0,39.9,0.0,999.9,1
1,04,21,2021-04-26,530,1,60,100,21,1,81,13,,4,31,,,2,,1,,,,26,14,,,,,,3,,,4,,17,1,82,24,41,52.8,31.7,1015.2,10.0,12.2,24.1,41.0,79.0,39.0,0.0,999.9,0
2,04,21,2021-04-27,608,1,78,132,8,1,82,6,,2,40,,,3,,2,,,,32,11,,,,,,3,,,5,,13,2,119,25,41,73.3,50.3,1005.9,10.0,13.2,17.1,27.0,86.0,64.9,0.0,999.9,0
3,04,21,2021-04-28,528,1,60,100,18,,53,16,,1,45,,,,,,,2,,26,20,,,,,,6,,,1,,20,,91,17,50,52.3,43.7,1009.7,9.5,8.8,17.1,999.9,9999.9,46.4,0.0,999.9,1
4,04,21,2021-04-29,451,1,40,97,13,1,42,8,,4,27,,1,,,1,1,,,22,10,,,,,,13,,,,,17,3,103,16,28,53.5,45.2,1010.4,9.2,8.3,12,15.9,71.1,46.9,0.04,999.9,1
5,04,21,2021-04-30,599,,68,107,19,1,79,7,,5,50,,,1,,,,,2,23,15,,,,,,8,,,1,,19,2,116,27,48,53.1,37.4,1017.5,10.0,10.4,22.9,27.0,71.1,46.9,0.04,999.9,0
6,05,21,2021-05-01,691,1,73,135,21,,78,3,,7,73,,,3,,3,,,2,32,6,,,,,,18,,,4,,22,6,113,30,58,55.9,34.3,1015.4,10.0,12.8,27,41.0,84.9,42.1,0.0,999.9,0
7,05,21,2021-05-02,620,2,66,164,15,,94,12,,5,23,,,4,1,2,,,,23,14,,,,,,5,,,4,,25,5,88,27,39,74.4,50.4,1003.5,10.0,13.6,22,29.9,84.0,63.0,0.0,999.9,0
1,05,21,2021-05-03,553,1,60,113,15,1,49,5,,4,51,,,1,,2,1,,,26,20,,,,,,11,,,2,,22,4,99,20,46,65.4,57.0,1001.5,9.5,9.7,19,28.9,84.9,59.0,0.01,999.9,1
2,05,21,2021-05-04,477,1,58,88,15,,53,7,,6,36,,,,,,2,1,,18,26,,,,,,6,,,,,13,4,80,18,45,56.9,51.0,1007.8,9.9,8,11.1,15.0,73.0,52.0,0.06,999.9,1
3,05,21,2021-05-05,576,,64,125,12,2,64,5,,1,47,,,2,,,2,1,,29,17,,,,,,2,,,,,18,3,111,18,49,51.2,37.1,1017.1,10.0,7.9,15,22.0,61.0,41.0,0.0,999.9,0
4,05,21,2021-05-06,500,4,54,89,14,,56,11,,4,38,,,,,1,,,1,21,14,,,,,,6,,,,,17,3,113,17,37,49.2,35.2,1019.5,10.0,7.2,13,999.9,61.0,41.0,0.05,999.9,1
5,05,21,2021-05-07,515,2,59,94,16,1,57,8,,4,41,,,1,,,,1,1,27,17,,,,,,6,,,,,21,2,84,20,52,50.2,32.4,1016.3,10.0,8,17.1,24.1,60.1,44.1,0.01,999.9,0
6,05,21,2021-05-08,543,1,50,118,18,,71,6,,4,34,,,3,,1,1,1,1,31,9,,,,,,5,,,7,,17,,97,28,40,45.0,32.5,1019.7,9.6,6,15,999.9,60.1,37.0,0.0,999.9,0
7,05,21,2021-05-09,526,,42,139,18,,84,7,,6,21,,,2,1,1,1,,,27,13,,,,,,4,,,,,17,2,84,20,36,46.1,34.8,1014.7,9.4,10.7,17.1,24.1,57.0,37.0,0.12,999.9,1
1,05,21,2021-05-10,526,3,34,103,11,,74,6,,2,45,,,,,,,,,25,20,,,,,,5,,,2,,11,5,107,20,52,46.2,33.4,1019.6,10.0,7.8,15,15.9,57.0,39.0,0.1,999.9,0
2,05,21,2021-05-11,533,3,53,92,20,,70,6,,4,46,,,3,,,,,1,24,13,,,,,,5,,,2,,13,1,109,16,51,46.3,30.2,1025.9,10.0,7.4,15.9,22.0,55.9,36.0,0.0,999.9,0
3,05,21,2021-05-12,489,,47,93,14,,57,11,,5,43,,,1,,1,1,,,13,14,,,,,,5,,,3,,17,,105,17,41,49.8,27.0,1030.7,10.0,4.8,12,17.1,62.1,36.0,0.0,999.9,0
4,05,21,2021-05-13,541,3,65,101,14,1,70,9,,3,38,,,2,,,,,1,26,14,,,,,,3,,,1,,12,5,113,20,40,55.4,24.1,1029.1,10.0,4,8.9,999.9,70.0,37.0,0.0,999.9,0
5,05,21,2021-05-14,616,2,66,111,21,,81,9,,5,45,,,1,,,,1,,35,22,,,,,,4,,,1,,24,3,120,30,34,60.3,27.5,1025.7,10.0,5.5,11.1,999.9,71.1,41.0,0.0,999.9,0
6,05,21,2021-05-15,605,1,50,133,19,1,95,10,,2,27,,,5,,1,1,,3,20,9,,,,,,2,,,2,,12,5,119,36,50,58.6,37.9,1022.8,10.0,6.9,12,24.1,71.1,48.0,0.0,999.9,1
7,05,21,2021-05-16,562,3,53,140,16,1,69,13,,8,26,,,1,,2,,,,22,19,,,,,,6,,,1,,19,3,95,32,33,61.7,47.0,1021.1,10.0,3.5,8,999.9,72.0,55.0,0.01,999.9,0
1,05,21,2021-05-17,596,3,69,116,18,,73,11,,3,47,,,3,,,,,,28,12,,,,,,13,,,2,,12,7,104,34,40,63.5,48.7,1021.0,10.0,5.9,11.1,999.9,72.0,55.0,0.0,999.9,0
2,05,21,2021-05-18,553,1,51,113,17,,78,8,,5,40,,,3,,,,,1,28,9,,,,,,3,,,,,17,2,113,20,44,65.2,54.6,1022.1,10.0,8.8,18.1,24.1,75.9,55.9,0.0,999.9,1
3,05,21,2021-05-19,584,,58,95,24,1,71,8,,1,46,,,2,,2,1,,,20,15,,,,,,11,,10,2,,21,5,116,27,46,68.7,61.2,1021.1,9.6,9.5,15.9,26.0,75.9,57.9,0.07,999.9,1
4,05,21,2021-05-20,572,1,69,130,8,,70,6,,3,52,,,1,,,,1,,25,15,,,,,,9,1,,,,14,2,109,21,32,74.1,60.4,1022.6,10.0,9.2,17.1,25.1,86.0,66.0,0.04,999.9,1
5,05,21,2021-05-21,622,1,64,137,18,,68,11,,5,39,,1,5,,1,,,,25,21,,,,,,8,,,1,,16,8,121,37,34,77.3,58.3,1024.7,10.0,8.9,15,25.1,86.0,66.0,0.0,999.9,0
6,05,21,2021-05-22,667,1,61,155,17,,105,10,,8,22,,,4,,,,2,,28,27,,,,,,5,,,4,,11,6,121,37,42,77.6,61.0,1026.1,10.0,5.1,11.1,19.0,88.0,69.1,0.0,999.9,0
7,05,21,2021-05-23,648,4,74,174,11,1,91,7,,8,18,,,4,,2,1,,2,21,14,,,,,1,4,,,1,,14,1,100,45,50,75.3,63.6,1022.0,9.9,6.9,11.1,14.0,84.9,60.1,0.0,999.9,1
1,05,21,2021-05-24,659,2,63,130,15,,68,12,,3,57,,,3,,,1,,,26,19,,,,,,9,,1,5,,23,2,127,40,53,68.5,56.5,1019.4,7.3,6.1,12,20.0,89.1,55.4,0.02,999.9,1
2,05,21,2021-05-25,636,1,66,124,13,,102,11,,1,58,,,2,,1,1,,,22,13,,,,,,3,,,,,18,3,119,31,47,79.0,58.1,1015.1,10.0,10.4,21,32.1,86.0,73.0,0.0,999.9,1
3,05,21,2021-05-26,568,,64,132,16,1,81,9,,4,32,,,2,,,,,,19,15,,,,,1,5,,,2,,16,1,110,24,33,72.8,58.8,1014.2,9.0,10.7,21,26.0,84.9,64.9,0.77,999.9,1
4,05,21,2021-05-27,505,1,59,76,7,,67,9,,4,43,,,1,,3,2,,1,22,20,,,,,,4,,,,,10,1,106,26,40,57.3,45.3,1019.3,9.9,13.3,20,28.9,82.0,50.0,0.74,999.9,1
5,05,21,2021-05-28,503,2,45,95,11,1,60,13,,2,60,,,1,,1,,,1,23,12,,,,,1,8,,,,,15,1,93,16,40,48.2,42.8,1014.7,8.4,18.4,27,35.0,59.0,44.1,0.24,999.9,1
6,05,21,2021-05-29,566,,57,113,10,,77,14,,4,30,,,1,,,1,,1,16,12,,,1,,,10,,,1,,16,3,113,38,47,51.4,31.4,1021.9,9.8,13.1,18.1,28.9,60.1,44.1,0.29,999.9,1
7,05,21,2021-05-30,587,1,56,130,17,,74,8,,2,34,,,1,,1,,,1,25,20,,,,,,7,,,,,10,1,101,56,38,55.7,32.7,1024.8,10.0,4.8,11.1,999.9,69.1,42.1,0.0,999.9,0
1,05,21,2021-05-31,545,4,50,120,11,1,79,8,,8,31,,,1,,1,,1,,19,16,1,,,,,5,,,,,12,2,75,43,55,62.7,40.5,1023.9,10.0,6,13,17.1,70.0,42.1,0.0,999.9,0
2,06,21,2021-06-01,670,5,71,115,13,,77,5,,15,80,,,3,,,,,,24,14,,,,,,15,,,1,,17,4,107,42,62,63.2,46.1,1022.6,9.7,3.9,11.1,999.9,77.0,50.0,0.0,999.9,0
3,06,21,2021-06-02,593,2,55,115,13,2,92,9,,4,53,,,3,,2,,,,25,11,,,,,,1,,3,3,,12,2,111,24,50,67.3,47.5,1017.0,10.0,5.2,9.9,14.0,78.1,50.0,0.0,999.9,0
4,06,21,2021-06-03,623,2,49,114,22,1,57,12,,6,70,,,1,,1,2,,,29,14,,,,,,2,,3,2,,19,2,145,21,49,70.7,48.9,1011.9,9.9,4.4,8.9,999.9,87.1,55.9,0.0,999.9,0
5,06,21,2021-06-04,600,2,55,108,20,,56,11,,7,54,,,4,,1,,,2,30,8,,,,,,8,,,2,,35,2,131,21,41,79.8,50.4,1011.8,10.0,8.6,15.9,25.1,90.0,71.1,0.0,999.9,1
6,06,21,2021-06-05,610,2,72,139,11,,86,13,,7,26,,2,5,,,,,3,23,9,,,,,,5,,,1,,22,4,98,41,41,80.6,54.8,1011.8,10.0,10.7,17.1,22.9,91.9,69.1,0.0,999.9,0
7,06,21,2021-06-06,715,1,65,184,14,2,109,6,,9,39,,,,,1,1,,1,33,14,,,,,,5,,,4,,21,5,112,45,44,81.5,59.2,1012.0,10.0,10.2,15.9,28.9,91.9,69.1,0.0,999.9,0
1,06,21,2021-06-07,649,3,70,132,27,,78,7,,2,68,,,,,,,1,,34,13,,,,,,4,,,5,,15,2,117,28,39,77.5,67.5,1012.4,9.9,7.3,9.9,15.9,89.1,72.0,0.0,999.9,1
2,06,21,2021-06-08,676,4,78,139,12,,86,14,,4,50,,,1,,1,,,,26,14,,,,,,5,,,3,,15,8,143,26,44,77.5,67.8,1014.7,9.8,3.5,8,999.9,91.0,71.1,0.0,999.9,1
3,06,21,2021-06-09,607,2,68,110,12,,80,6,,6,70,,,4,,,1,,1,28,11,,,,,,7,,,,,20,3,99,32,46,79.9,66.7,1015.7,10.0,4.4,9.9,17.1,91.0,71.1,0.01,999.9,0
4,06,21,2021-06-10,623,3,67,121,16,,80,8,,2,48,,,3,,2,,1,,41,13,,,,,,9,,,1,,23,4,107,29,45,77.3,65.0,1014.0,10.0,5.1,9.9,999.9,90.0,66.0,0.0,999.9,0
5,06,21,2021-06-11,662,,61,155,20,2,63,9,,6,60,,,5,,2,1,,,33,13,,,,,,7,,,3,,15,2,130,18,57,81.2,66.3,1010.0,10.0,4,8.9,999.9,91.9,66.0,0.0,999.9,0
6,06,21,2021-06-12,601,,47,137,22,1,78,5,,7,29,,,2,,1,,2,1,18,8,,,,,,4,,,3,,22,3,135,33,40,79.9,67.8,1009.7,9.3,4.8,20,35.0,93.0,68.0,0.0,999.9,1
7,06,21,2021-06-13,669,,56,166,16,1,81,11,,6,41,,,,,1,,,3,24,9,,,,,,7,,,1,,28,7,120,31,59,77.9,58.8,1013.3,10.0,6.1,8.9,14.0,93.0,66.0,1.5,999.9,0
1,06,21,2021-06-14,647,2,60,132,25,,74,6,,1,69,,,4,,2,1,,,24,9,,,,,,5,,,2,,18,2,129,38,44,75.3,52.8,1012.8,10.0,10.4,19,24.1,87.1,64.9,0.0,999.9,0
2,06,21,2021-06-15,606,3,83,118,14,,73,7,,2,59,,,6,,1,,,,20,20,,,,,,9,,,3,,16,4,98,27,41,70.5,52.7,1017.7,10.0,7.1,14,20.0,82.9,62.1,0.0,999.9,0
3,06,21,2021-06-16,589,,66,122,19,,80,6,,3,57,,,,,2,,,,21,15,,,,,2,5,,,1,,11,2,99,23,55,67.1,44.9,1019.3,10.0,7.5,15,15.9,77.0,55.9,0.0,999.9,0
4,06,21,2021-06-17,555,1,54,96,14,1,67,11,,2,42,,,2,,1,,,,29,19,,,,,,5,,,1,,27,3,110,28,41,71.5,46.0,1015.3,10.0,5.7,15,21.0,88.0,55.9,0.0,999.9,1
5,06,21,2021-06-18,639,1,52,110,25,2,75,15,,6,46,,,3,,1,,,1,27,21,,,,,,3,,,4,,19,5,125,34,64,80.9,62.5,1008.3,10.0,8.7,28.9,40.0,90.0,57.9,0.24,999.9,1
6,06,21,2021-06-19,712,1,59,169,15,2,91,4,,6,29,,1,4,,,,,2,27,19,,,,,1,8,,,7,,21,7,122,55,62,79.5,62.2,1007.4,10.0,7.8,18.1,26.0,90.0,66.9,0.01,999.9,0
7,06,21,2021-06-20,700,1,65,189,14,1,71,9,,7,37,,,5,,1,,2,1,23,24,,,,,,6,,,1,,19,4,105,53,62,72.3,63.0,1005.9,9.8,5.7,12,999.9,90.0,62.1,0.0,999.9,1
1,06,21,2021-06-21,597,1,63,128,20,,69,9,,,64,,,6,,,1,,,28,11,,,,,1,7,,,2,,14,1,111,24,36,69.8,57.8,1003.9,9.4,10.7,26,34.0,82.0,62.1,1.85,999.9,1
2,06,21,2021-06-22,633,2,73,104,10,1,81,5,,3,62,,,2,,,1,1,,38,23,,,,,1,7,,,,,22,2,108,30,54,62.9,44.8,1014.0,10.0,7.7,15.9,22.9,73.0,54.0,0.0,999.9,0
3,06,21,2021-06-23,583,4,89,119,14,,70,13,,4,43,,,1,,1,,,,25,7,,,,,,3,,,3,,13,,107,26,39,68.9,52.0,1015.4,10.0,10.1,19,29.9,79.0,54.0,0.0,999.9,1
4,06,21,2021-06-24,578,3,64,97,25,,88,8,,4,40,,,2,,,,,,27,16,,,,,,4,,,1,,18,1,115,19,45,71.9,57.8,1014.5,9.0,11,17.1,27.0,79.0,64.9,0.02,999.9,1
5,06,21,2021-06-25,542,,49,103,21,,70,10,,7,48,,,2,,2,,1,1,29,11,,,,,,5,,,2,,21,4,83,29,42,72.0,69.1,1011.9,7.9,9.2,15.9,26.0,75.9,68.0,1.49,999.9,1
6,06,21,2021-06-26,564,1,50,116,11,1,81,10,,5,18,,,4,,1,,,1,26,6,,,,,,3,,,2,,25,1,139,25,38,75.0,70.5,1009.0,9.2,7.6,14,22.0,82.0,70.0,0.45,999.9,1
7,06,21,2021-06-27,686,1,68,161,11,1,94,15,,8,29,,,2,,,1,,,36,12,,,,,,8,,3,,,19,4,137,37,39,76.5,69.2,1010.4,10.0,11.5,17.1,28.9,82.9,70.0,0.46,999.9,1
1,06,21,2021-06-28,643,,71,130,25,,71,12,,4,58,,,5,,2,,,,29,11,,,,,,3,,,2,,18,2,131,28,40,71.9,65.2,1018.3,9.9,5.6,12,999.9,82.9,66.0,0.0,999.9,1
2,06,21,2021-06-29,534,1,65,100,11,,64,6,,3,39,,,1,,1,,,,26,6,,,,,,1,,,1,,26,4,110,20,48,76.2,71.0,1019.7,9.5,5.9,11.1,17.1,84.0,66.0,0.17,999.9,1
3,06,21,2021-06-30,579,1,59,114,16,,75,16,,1,34,,,1,,1,,,,30,10,,,,,,5,,,4,,30,1,109,19,52,76.8,68.7,1018.3,9.7,4.9,15,22.9,84.0,71.1,0.29,999.9,1
4,07,21,2021-07-01,686,2,66,128,16,1,87,13,,2,68,,,6,,5,,,,31,15,,,,,,8,,,,,20,5,141,23,49,71.3,62.3,1016.2,10.0,10.3,18.1,25.1,82.9,66.0,0.29,999.9,1
