crimeDate,CRIME_NUM,location_description
2019-11-19,147,STREET
2019-11-20,142,STREET
2019-11-21,133,STREET
2019-11-22,160,STREET
2019-11-23,165,STREET
2019-11-24,156,STREET
2019-11-25,148,STREET
2019-11-26,147,STREET
2019-11-27,127,STREET
2019-11-28,111,STREET
2019-11-29,120,STREET
2019-11-30,138,STREET
2019-12-01,164,STREET
2019-12-02,139,STREET
2019-12-03,145,STREET
2019-12-04,157,STREET
2019-12-05,141,STREET
2019-12-06,147,STREET
2019-12-07,158,STREET
2019-12-08,149,STREET
2019-12-09,135,STREET
2019-12-10,128,STREET
2019-12-11,101,STREET
2019-12-12,127,STREET
2019-12-13,162,STREET
2019-12-14,162,STREET
2019-12-15,128,STREET
2019-12-16,100,STREET
2019-12-17,137,STREET
2019-12-18,122,STREET
2019-12-19,138,STREET
2019-12-20,149,STREET
2019-12-21,165,STREET
2019-12-22,170,STREET
2019-12-23,146,STREET
2019-12-24,121,STREET
2019-12-25,104,STREET
2019-12-26,118,STREET
2019-12-27,161,STREET
2019-12-28,161,STREET
2019-12-29,131,STREET
2019-12-30,120,STREET
2019-12-31,123,STREET
2020-01-01,151,STREET
2020-01-02,132,STREET
2020-01-03,159,STREET
2020-01-04,132,STREET
2020-01-05,141,STREET
2020-01-06,133,STREET
2020-01-07,131,STREET
2020-01-08,141,STREET
2020-01-09,145,STREET
2020-01-10,110,STREET
2020-01-11,108,STREET
2020-01-12,117,STREET
2020-01-13,138,STREET
2020-01-14,150,STREET
2020-01-15,110,STREET
2020-01-16,165,STREET
2020-01-17,124,STREET
2020-01-18,105,STREET
2020-01-19,111,STREET
2020-01-20,148,STREET
2020-01-21,112,STREET
2020-01-22,118,STREET
2020-01-23,111,STREET
2020-01-24,140,STREET
2020-01-25,132,STREET
2020-01-26,163,STREET
2020-01-27,138,STREET
2020-01-28,134,STREET
2020-01-29,137,STREET
2020-01-30,128,STREET
2020-01-31,144,STREET
2020-02-01,179,STREET
2020-02-02,146,STREET
2020-02-03,153,STREET
2020-02-04,132,STREET
2020-02-05,127,STREET
2020-02-06,100,STREET
2020-02-07,159,STREET
2020-02-08,145,STREET
2020-02-09,136,STREET
2020-02-10,125,STREET
2020-02-11,119,STREET
2020-02-12,120,STREET
2020-02-13,100,STREET
2020-02-14,107,STREET
2020-02-15,122,STREET
2020-02-16,148,STREET
2020-02-17,134,STREET
2020-02-18,132,STREET
2020-02-19,128,STREET
2020-02-20,131,STREET
2020-02-21,148,STREET
2020-02-22,156,STREET
2020-02-23,181,STREET
2020-02-24,128,STREET
2020-02-25,95,STREET
2020-02-26,123,STREET
2020-02-27,133,STREET
2020-02-28,144,STREET
2020-02-29,150,STREET
2020-03-01,183,STREET
2020-03-02,133,STREET
2020-03-03,128,STREET
2020-03-04,123,STREET
2020-03-05,117,STREET
2020-03-06,152,STREET
2020-03-07,159,STREET
