"","crimeDate","temp","Theft"
"192","2019-07-11",77.5,0.465753424657534
"193","2019-07-12",71.8,0.5662100456621
"194","2019-07-13",81.9,0.547945205479452
"195","2019-07-14",79.4,0.529680365296804
"196","2019-07-15",81,0.684931506849315
"197","2019-07-16",77.2,0.5662100456621
"198","2019-07-17",80.5,0.744292237442922
"199","2019-07-18",77.4,0.639269406392694
"200","2019-07-19",85.5,0.589041095890411
"201","2019-07-20",85,0.671232876712329
"202","2019-07-21",73.6,0.520547945205479
"203","2019-07-22",70.3,0.666666666666667
"204","2019-07-23",69.9,0.726027397260274
"205","2019-07-24",71.2,0.703196347031963
"206","2019-07-25",73.3,0.671232876712329
"207","2019-07-26",75.6,0.666666666666667
"208","2019-07-27",79.7,0.712328767123288
"209","2019-07-28",81.1,0.538812785388128
"210","2019-07-29",77.3,0.639269406392694
"211","2019-07-30",73.2,0.662100456621005
"212","2019-07-31",68.6,0.625570776255708
"213","2019-08-01",68.5,0.922374429223744
"214","2019-08-02",72,1
"215","2019-08-03",75.4,0.789954337899543
"216","2019-08-04",78.7,0.762557077625571
"217","2019-08-05",78.8,0.575342465753425
"218","2019-08-06",76.1,0.538812785388128
"219","2019-08-07",76.7,0.561643835616438
"220","2019-08-08",79.1,0.757990867579909
"221","2019-08-09",72.7,0.689497716894977
"222","2019-08-10",74.2,0.520547945205479
"223","2019-08-11",74.4,0.570776255707763
"224","2019-08-12",76,0.657534246575342
"225","2019-08-13",75.2,0.65296803652968
"226","2019-08-14",71.9,0.598173515981735
"227","2019-08-15",70.1,0.689497716894977
"228","2019-08-16",71.8,0.570776255707763
"229","2019-08-17",73.3,0.593607305936073
"230","2019-08-18",73.5,0.415525114155251
"231","2019-08-19",75.6,0.502283105022831
"232","2019-08-20",74.3,0.515981735159817
"233","2019-08-21",73.1,0.625570776255708
"234","2019-08-22",71.4,0.607305936073059
"235","2019-08-23",67.6,0.730593607305936
"236","2019-08-24",66.8,0.625570776255708
"237","2019-08-25",68.6,0.438356164383562
"238","2019-08-26",70.2,0.488584474885845
"239","2019-08-27",71.6,0.607305936073059
"240","2019-08-28",68.2,0.73972602739726
"241","2019-08-29",69.8,0.65296803652968
"242","2019-08-30",69.6,0.511415525114155
"243","2019-08-31",66.9,0.634703196347032
"244","2019-09-01",66.9,0.625570776255708
"245","2019-09-02",70,0.589041095890411
"246","2019-09-03",72.3,0.520547945205479
"247","2019-09-04",67.6,0.602739726027397
"248","2019-09-05",63.9,0.497716894977169
"249","2019-09-06",67.3,0.611872146118721
"250","2019-09-07",66.3,0.557077625570776
"251","2019-09-08",65.1,0.383561643835616
"252","2019-09-09",66.5,0.561643835616438
"253","2019-09-10",78,0.579908675799087
"254","2019-09-11",80.5,0.502283105022831
"255","2019-09-12",71.9,0.698630136986301
"256","2019-09-13",72.7,0.625570776255708
"257","2019-09-14",66.7,0.511415525114155
"258","2019-09-15",70.6,0.406392694063927
"259","2019-09-16",71.2,0.643835616438356
"260","2019-09-17",69.3,0.502283105022831
"261","2019-09-18",70.9,0.525114155251142
"262","2019-09-19",72.2,0.538812785388128
"263","2019-09-20",74.1,0.721461187214612
"264","2019-09-21",75.1,0.552511415525114
"265","2019-09-22",72.2,0.442922374429224
"266","2019-09-23",66.7,0.607305936073059
"267","2019-09-24",66.9,0.593607305936073
"268","2019-09-25",70.3,0.479452054794521
"269","2019-09-26",65.5,0.493150684931507
"270","2019-09-27",63.3,0.497716894977169
"271","2019-09-28",61.3,0.497716894977169
