"","temp","month","CRIME_NUM"
"168",59,6,0.640243902439024
"169",63.9,6,0.603658536585366
"170",66.6,6,0.780487804878049
"171",60,6,0.50609756097561
"172",62.8,6,0.74390243902439
"173",66.5,6,0.975609756097561
"174",73.1,6,0.957317073170732
"175",71.3,6,0.73780487804878
"176",72,6,0.664634146341463
"177",78.2,6,0.695121951219512
"178",77.2,6,0.670731707317073
"179",75.7,6,0.981707317073171
"180",78.4,6,0.835365853658537
"181",77.7,6,0.865853658536585
"182",77.1,7,0.853658536585366
"183",83.9,7,0.658536585365854
"184",77.6,7,0.695121951219512
"185",78.1,7,0.914634146341463
"186",81.4,7,0.908536585365854
"187",77.7,7,0.817073170731707
"188",70.2,7,0.725609756097561
"189",70.8,7,0.841463414634146
"190",74.2,7,0.670731707317073
"191",83.4,7,0.810975609756098
"192",77.5,7,0.615853658536585
"193",71.8,7,0.676829268292683
"194",81.9,7,0.98780487804878
"195",79.4,7,0.896341463414634
"196",81,7,0.713414634146341
"197",77.2,7,0.731707317073171
"198",80.5,7,0.646341463414634
"199",77.4,7,0.719512195121951
"200",85.5,7,0.786585365853659
"201",85,7,0.926829268292683
"202",73.6,7,0.731707317073171
"203",70.3,7,0.682926829268293
"204",69.9,7,0.74390243902439
"205",71.2,7,0.707317073170732
"206",73.3,7,0.682926829268293
"207",75.6,7,0.884146341463415
"208",79.7,7,0.768292682926829
"209",81.1,7,1
"210",77.3,7,0.75
"211",73.2,7,0.725609756097561
"212",68.6,7,0.75
"213",68.5,8,0.786585365853659
"214",72,8,0.75609756097561
"215",75.4,8,0.810975609756098
"216",78.7,8,0.957317073170732
"217",78.8,8,0.75
"218",76.1,8,0.76219512195122
"219",76.7,8,0.768292682926829
"220",79.1,8,0.768292682926829
"221",72.7,8,0.74390243902439
"222",74.2,8,0.902439024390244
"223",74.4,8,0.981707317073171
"224",76,8,0.609756097560976
"225",75.2,8,0.713414634146341
"226",71.9,8,0.713414634146341
"227",70.1,8,0.768292682926829
"228",71.8,8,0.76219512195122
"229",73.3,8,0.841463414634146
"230",73.5,8,0.695121951219512
"231",75.6,8,0.76219512195122
"232",74.3,8,0.676829268292683
"233",73.1,8,0.597560975609756
"234",71.4,8,0.676829268292683
"235",67.6,8,0.768292682926829
"236",66.8,8,0.847560975609756
"237",68.6,8,0.75609756097561
"238",70.2,8,0.707317073170732
"239",71.6,8,0.75609756097561
"240",68.2,8,0.682926829268293
"241",69.8,8,0.810975609756098
"242",69.6,8,0.74390243902439
"243",66.9,8,0.859756097560976
"244",66.9,9,0.969512195121951
"245",70,9,0.725609756097561
"246",72.3,9,0.542682926829268
"247",67.6,9,0.451219512195122
"248",63.9,9,0.292682926829268
"249",67.3,9,0.719512195121951
"250",66.3,9,0.731707317073171
"251",65.1,9,0.640243902439024
"252",66.5,9,0.646341463414634
"253",78,9,0.50609756097561
"254",80.5,9,0.585365853658537
"255",71.9,9,0.701219512195122
"256",72.7,9,0.792682926829268
"257",66.7,9,0.835365853658537
"258",70.6,9,0.75
"259",71.2,9,0.695121951219512
"260",69.3,9,0.682926829268293
"261",70.9,9,0.524390243902439
"262",72.2,9,0.731707317073171
"263",74.1,9,0.628048780487805
"264",75.1,9,0.774390243902439
"265",72.2,9,0.481707317073171
"266",66.7,9,0.634146341463415
"267",66.9,9,0.585365853658537
"268",70.3,9,0.573170731707317
"269",65.5,9,0.542682926829268
"270",63.3,9,0.554878048780488
"271",61.3,9,0.670731707317073
"272",60.9,9,0.713414634146341
"273",71.2,9,0.579268292682927
"274",78.6,10,0.695121951219512
"275",65.9,10,0.518292682926829
"276",60.7,10,0.48780487804878
"277",51.8,10,0.664634146341463
"278",54.6,10,0.951219512195122
"279",58.6,10,0.646341463414634
"280",58.6,10,0.524390243902439
"281",57.1,10,0.560975609756098
