"","temp","dewp","Crime_Total"
"734",31.9,28.4,0.387096774193548
"735",26.9,23.3,0.421505376344086
"736",30.9,27.2,0.440860215053763
"737",33,27.5,0.316129032258064
"738",35.3,28.3,0.520430107526882
"739",33.8,26.7,0.544086021505376
"740",31.4,22.9,0.339784946236559
"741",28.9,21.7,0.479569892473118
"742",25.2,19.8,0.331182795698925
"743",30.7,24.8,0.496774193548387
"744",34.5,28.2,0.387096774193548
"745",36.3,30.5,0.427956989247312
"746",35.4,30.7,0.531182795698925
"747",33,28.9,0.32258064516129
"748",31.9,28,0.436559139784946
"749",28.4,22.9,0.296774193548387
"750",24.3,16.9,0.402150537634409
"751",22.7,14.7,0.432258064516129
"752",34,23.4,0.548387096774194
"753",22.8,9.7,0.395698924731183
"754",17.1,3.3,0.408602150537634
"755",29.7,19.8,0.372043010752688
"756",30.9,23.3,0.438709677419355
"757",31,26.9,0.221505376344086
"758",24.3,16.7,0.389247311827957
"759",16.8,4.8,0.309677419354839
"760",22,9.1,0.335483870967742
"761",30.5,19.8,0.268817204301075
"762",30.7,27.6,0.010752688172043
"763",29.5,23.4,0.436559139784946
"764",26,17.6,0.361290322580645
"765",25.5,16.8,0.352688172043011
"766",32.2,24.1,0.212903225806452
"767",17.1,9.6,0.313978494623656
"768",8.7,0,0.141935483870968
"769",1.3,-9.1,0.101075268817204
"770",5.4,-4.7,0.167741935483871
"771",8.2,-3.5,0.221505376344086
"772",9.7,-1.8,0.189247311827957
"773",11.7,0.9,0.217204301075269
"774",13.8,6.2,0.32258064516129
"775",7.8,0.3,0.180645161290323
"776",0.1,-12.2,0.146236559139785
"777",3.5,-4.1,0
"778",11.6,4.5,0.0645161290322581
"779",15.5,4.9,0.212903225806452
"780",20.6,12.3,0.236559139784946
"781",16.2,7.9,0.335483870967742
"782",16.8,8,0.29247311827957
"783",25.6,16.1,0.273118279569892
"784",32.7,27.6,0.339784946236559
"785",40.4,30.3,0.451612903225806
"786",42,32.1,0.395698924731183
"787",33.9,23.9,0.423655913978495
"788",33.6,21.3,0.505376344086022
"789",40.3,31.2,0.496774193548387
"790",42.8,38.2,0.488172043010753
"791",32.5,21.7,0.597849462365591
"792",29.6,14.5,0.367741935483871
"793",44.3,30.1,0.494623655913978
"794",35.7,27,0.423655913978495
"795",34.1,20.2,0.419354838709677
"796",36.5,22.9,0.410752688172043
"797",36.5,22.2,0.331182795698925
"798",50.8,32.3,0.434408602150538
"799",52.6,36.1,0.539784946236559
"800",61,42.5,0.466666666666667
"801",55.3,43.5,0.341935483870968
"802",45.2,29.1,0.425806451612903
"803",43.2,24.7,0.365591397849462
"804",45.4,26.4,0.260215053763441
"805",35,22.6,0.337634408602151
"806",34.8,30.1,0.311827956989247
"807",35.7,30.3,0.376344086021505
"808",38.6,33.2,0.238709677419355
"809",39,21.4,0.359139784946237
"810",40.9,23.1,0.331182795698925
"811",49.8,26.8,0.458064516129032
"812",56.5,29,0.580645161290323
"813",56.8,41,0.339784946236559
"814",55.2,48.5,0.361290322580645
"815",47,40,0.286021505376344
"816",39.3,33.9,0.374193548387097
"817",47.2,39.6,0.305376344086021
"818",47.6,34,0.440860215053763
"819",43.6,25.7,0.348387096774194
"820",56.8,35.1,0.417204301075269
"821",42.1,18.8,0.331182795698925
"822",33.4,12.4,0.602150537634409
"823",36,16.1,0.367741935483871
"824",51.3,23,0.434408602150538
"825",59.8,37.1,0.445161290322581
"826",67,46.7,0.417204301075269
"827",69.7,48.4,0.455913978494624
"828",70.2,51.6,0.533333333333333
"829",63.5,54.9,0.320430107526882
"830",54.1,46.9,0.417204301075269
"831",52.8,47.3,0.382795698924731
