"","month","day","year","CrimeTotalAssaultTheft.year.1","temp","Crime_Total","Theft","Assault"
"333","Nov","Saturday",2019,2019,37.3,0.556876061120543,0.811224489795918,0.140350877192982
"334","Dec","Sunday",2019,2019,39.3,0.66044142614601,0.63265306122449,0.298245614035088
"335","Dec","Monday",2019,2019,31.7,0.634974533106961,0.826530612244898,0.43859649122807
"336","Dec","Tuesday",2019,2019,32.4,0.602716468590832,0.862244897959184,0.578947368421053
"337","Dec","Wednesday",2019,2019,36.7,0.697792869269949,0.795918367346939,0.578947368421053
"338","Dec","Thursday",2019,2019,35.7,0.619694397283531,0.841836734693878,0.771929824561403
"339","Dec","Friday",2019,2019,38.5,0.68081494057725,0.908163265306122,0.473684210526316
"340","Dec","Saturday",2019,2019,30.7,0.619694397283531,0.903061224489796,0.315789473684211
"341","Dec","Sunday",2019,2019,38.5,0.570458404074703,0.48469387755102,0.403508771929825
"342","Dec","Monday",2019,2019,45.8,0.628183361629881,0.836734693877551,0.614035087719298
"343","Dec","Tuesday",2019,2019,22,0.577249575551783,0.811224489795918,0.526315789473684
"344","Dec","Wednesday",2019,2019,17.9,0.460101867572156,0.581632653061224,0.631578947368421
"345","Dec","Thursday",2019,2019,28,0.544991511035654,0.821428571428571,0.473684210526316
"346","Dec","Friday",2019,2019,39.7,0.67402376910017,0.775510204081633,0.596491228070175
"347","Dec","Saturday",2019,2019,32.8,0.589134125636672,0.857142857142857,0.245614035087719
"348","Dec","Sunday",2019,2019,23.5,0.543293718166384,0.602040816326531,0.245614035087719
"349","Dec","Monday",2019,2019,26,0.490662139219015,0.627551020408163,0.421052631578947
"350","Dec","Tuesday",2019,2019,24.9,0.568760611205433,0.668367346938776,0.315789473684211
"351","Dec","Wednesday",2019,2019,19.9,0.539898132427844,0.770408163265306,0.0526315789473684
"352","Dec","Thursday",2019,2019,22.9,0.590831918505942,0.836734693877551,0.508771929824561
"353","Dec","Friday",2019,2019,29.9,0.66383701188455,0.903061224489796,0.245614035087719
"354","Dec","Saturday",2019,2019,37.5,0.699490662139219,0.795918367346939,0.578947368421053
"355","Dec","Sunday",2019,2019,39.7,0.587436332767402,0.602040816326531,0.543859649122807
"356","Dec","Monday",2019,2019,42,0.604414261460102,0.704081632653061,0.719298245614035
"357","Dec","Tuesday",2019,2019,39.8,0.490662139219015,0.673469387755102,0.385964912280702
"358","Dec","Wednesday",2019,2019,47.5,0.298811544991511,0.275510204081633,0.473684210526316
"359","Dec","Thursday",2019,2019,55.6,0.466893039049236,0.48469387755102,0.403508771929825
"360","Dec","Friday",2019,2019,36.9,0.607809847198642,0.760204081632653,0.157894736842105
"361","Dec","Saturday",2019,2019,34.1,0.516129032258065,0.51530612244898,0.508771929824561
"362","Dec","Sunday",2019,2019,51.9,0.601018675721562,0.612244897959184,0.315789473684211
"363","Dec","Monday",2019,2019,38.4,0.477079796264856,0.642857142857143,0.473684210526316
"364","Dec","Tuesday",2019,2019,26.3,0.363327674023769,0.418367346938776,0.0701754385964912
"365","Jan","Friday",2021,2021,26.7,0.6553480475382,0.188775510204082,0.166666666666667
"366","Jan","Saturday",2021,2021,32,0.193548387096774,0.204081632653061,0.0833333333333333
"367","Jan","Sunday",2021,2021,31.9,0.305602716468591,0.163265306122449,0.0666666666666667
"368","Jan","Monday",2021,2021,26.9,0.33276740237691,0.25,0.15
"369","Jan","Tuesday",2021,2021,30.9,0.34804753820034,0.280612244897959,0.166666666666667
"370","Jan","Wednesday",2021,2021,33,0.249575551782683,0.198979591836735,0.333333333333333
"371","Jan","Thursday",2021,2021,35.3,0.410865874363328,0.392857142857143,0.166666666666667
"372","Jan","Friday",2021,2021,33.8,0.429541595925297,0.372448979591837,0.516666666666667
"373","Jan","Saturday",2021,2021,31.4,0.268251273344652,0.193877551020408,0.283333333333333
"374","Jan","Sunday",2021,2021,28.9,0.378607809847199,0.214285714285714,0.216666666666667
"375","Jan","Monday",2021,2021,25.2,0.261460101867572,0.239795918367347,0.45
"376","Jan","Tuesday",2021,2021,30.7,0.392190152801358,0.321428571428571,0.266666666666667
