"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","year","temp","linearStreet2019_2021.CRIME_NUM"
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,45.5,0.534965034965035
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,36,0.465034965034965
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,34.9,0.444055944055944
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,41.8,0.472027972027972
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,53.2,0.506993006993007
"88",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,46.7,0.496503496503497
"89",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,39.7,0.482517482517482
"90",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,30.7,0.496503496503497
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,35,0.496503496503497
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,44.7,0.479020979020979
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,45.5,0.41958041958042
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,46,0.486013986013986
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,43.5,0.618881118881119
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,51.7,0.625874125874126
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,56.3,0.678321678321678
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,61.2,0.618881118881119
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,59.8,0.510489510489511
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,40.5,0.534965034965035
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,42.2,0.552447552447552
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,47.9,0.534965034965035
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,42.4,0.531468531468531
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,36.8,0.454545454545455
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,37.8,0.573426573426573
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,56,0.472027972027972
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,55,0.527972027972028
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,58.5,0.468531468531469
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,44.9,0.496503496503497
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,49.5,0.587412587412587
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,58.3,0.510489510489511
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,68.1,0.583916083916084
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,59.1,0.573426573426573
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,52.7,0.601398601398601
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,56.7,0.608391608391608
"116",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,55.6,0.590909090909091
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,42.4,0.48951048951049
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,39.1,0.510489510489511
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,45.1,0.506993006993007
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,44.4,0.482517482517482
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,50,0.493006993006993
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,44.3,0.461538461538462
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,47.5,0.597902097902098
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,49.5,0.503496503496504
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,58.3,0.664335664335664
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,59.3,0.541958041958042
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,46.4,0.426573426573427
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,50.1,0.562937062937063
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,61.3,0.510489510489511
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,49.6,0.486013986013986
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,47.6,0.541958041958042
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,46.2,0.538461538461538
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,49.7,0.629370629370629
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,54.3,0.517482517482518
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,62.3,0.56993006993007
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,66.3,0.56993006993007
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,57.9,0.566433566433566
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,55.7,0.604895104895105
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,62.7,0.63986013986014
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,53.3,0.611888111888112
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,48.5,0.409090909090909
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,61.4,0.548951048951049
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,70.1,0.611888111888112
"144",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,62.3,0.681818181818182
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,73.6,0.741258741258741
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,70,0.727272727272727
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,61.2,0.594405594405594
"148",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,64.5,0.520979020979021
"149",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,59.5,0.5
"150",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,66,0.559440559440559
"151",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,70.5,0.622377622377622
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,71,0.65034965034965
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,60.1,0.594405594405594
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,57.8,0.527972027972028
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,64.2,0.562937062937063
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,74.4,0.608391608391608
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,65.5,0.496503496503497
"158",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,66.2,0.615384615384615
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2019,67,0.741258741258741
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2019,68.8,0.716783216783217
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2019,66.7,0.58041958041958
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2019,68.8,0.618881118881119
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2019,67.4,0.503496503496504
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2019,57.9,0.562937062937063
"165",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2019,64.8,0.594405594405594
